917 West_Edm_Mall, 46 Stops
8607,Lewis_Farms_Transit_Centre
8536,West_Henday_Promenade_Access_&_Webber_Greens_Drive
8042,Suder_Greens_Drive_&_Webber_Greens_Drive
8453,Suder_Greens_Drive_&_88_Avenue
8057,207_Street_&_Suder_Greens_Drive
8461,Lewis_Estates_Boulevard_&_Suder_Greens_Drive
8704,Lewis_Estates_Boulevard_&_Suder_Greens_Drive
8815,Lewis_Estates_Boulevard_&_Breckenridge_Drive
8135,Guardian_Road_&_Whitemud_Drive
8349,Guardian_Road_&_Granville_Drive
8026,Grantham_Drive_&_Guardian_Road
8109,Graham_Gate_&_Guardian_Road
8037,199_Street_&_Glenwright_Crescent
8177,199_Street_&_69_Avenue
8172,Glastonbury_Boulevard_&_69_Avenue
8103,Glastonbury_Boulevard_&_Galland_Close
8230,Glastonbury_Boulevard_&_Galland_Crescent
8228,Glastonbury_Boulevard_&_Gibb_Wynd
8043,Glastonbury_Boulevard_&_62_Avenue
8460,199_Street_&_62_Avenue
55089,188_Street_&_Callingwood_Road
5930,188_Street_&_Ormsby_Road_West_S_Ent
5677,751_Ormsby_Road_W
5616,Ormsby_Road_W_&_Ormsby_Crescent
5661,453_Ormsby_Road_West
5698,Ormsby_Close_&_Ormsby_Road_W
5892,188_Street_&_70_Avenue
5759,188_Street_&_72_Avenue
5798,188_Street_&_73_Avenue
5943,188_Street_&_74_Avenue
5643,188_Street_&_77_Avenue
5770,185_Street_&_77_Avenue
5911,184_Street_&_76_Avenue
5725,183_Street_&_76_Avenue
5901,182_Street_&_76_Avenue
5852,180_Street_&_76_Avenue
5821,178_Street_&_76_Avenue
5749,178_Street_&_Whitemud_Drive
5969,178_Street_&_81_Avenue
5824,176_Street_&_81_Avenue
5887,175_Street_&_83_Avenue
5672,175_Street_&_85_Avenue
5014,175_Street_&_87_Avenue
5482,178_Street_&_87_Avenue
5690,178_Street_&_89_Avenue
5212,West_Edmonton_Mall_Transit_Centre
