109 Castle_Downs, 70 Stops
7001,Northgate_Transit_Centre
66112,97_Street_&_137_Avenue
6260,102_Street_&_137_Avenue
6436,104_Street_&_137_Avenue
6558,108_Street_&_137_Avenue
66156,Admiral_Girouard_Street_&_137_Avenue
66158,Admiral_Girouard_Street_&_Juchli_Avenue
6491,114_Street_&_139_Avenue
6580,117_Street_&_139_Avenue
6176,119_Street_&_139_Avenue
6326,120_Street_&_139_Avenue
6151,122_Street_&_142_Avenue
6629,123_Street_&_142_Avenue
6618,127_Street_&_142_Avenue
6565,127_Street_&_Cumberland_Road
6219,Hudson_Way_&_Cumberland_Road
6265,129_Street_&_Cumberland_Road
6103,Hudson_Court_&_Hudson_Road
6692,Hudson_Road_&_Hudson_Place
6858,Hudson_Road_&_141_Avenue
6707,Hudson_Road_&_141_Avenue
6768,138_Street_&_Hudson_Road
6822,Hudson_Road_&_142_Avenue
6869,138_Street_&_Hudson_Road
6726,136_Street_&_Hudson_Road
6107,Hudson_Road_&_141_Avenue
6748,134_Street_&_Hudson_Road
6830,134_Street_&_Cumberland_Road
6849,138_Street_&_Cumberland_Road
6619,139_Street_&_Cumberland_Road
6611,139_Street_&_148_Avenue
6627,139_Street_&_150_Avenue
6856,139_Street_&_153_Avenue
6652,137_Street_&_153_Avenue
6835,137_Street_&_155_Avenue
6734,138_Street_&_155_Avenue
6744,139_Street_&_156_Avenue
6382,139_Street_&_158_Avenue
6715,139_Street_&_161_Avenue
6862,139_Street_&_163_Avenue
6827,139_Street_&_164_Avenue
6711,136_Street_&_165_Avenue
6867,134_Street_&_165_Avenue
6834,132_Street_&_165_Avenue
6829,130_Street_&_165_Avenue
6821,130_Street_&_167_Avenue
6714,127_Street_&_167_Avenue_Nearside
6497,127_Street_&_167_Avenue
66016,127_Street_&_161_Avenue
6089,Dunluce_Road_&_161_Avenue
6087,430_Dunluce_Road
6085,Dunluce_Road_&_Warwick_Road_N_Ent
6083,105_Dunluce_Road
6081,120_Street_&_Dunluce_Road
6079,115_Street_&_Dunluce_Road
6340,115_Street_&_162_Avenue
6225,Castle_Downs_Road_&_162_Avenue
6520,Castle_Downs_Road_&_157_Avenue
6005,Castle_Downs_Transit_Centre
6101,Veterans_Way_&_153_Avenue
6478,Griesbach_Road_&_Morrison_Way
6557,Griesbach_Road_&_Martin_Avenue
6198,Griesbach_Road_&_149_Avenue
63313,Sir_Arthur_Currie_Way_&_Ad_Astra_Boulevard
66015,Naden_Landing_&_Sir_Arthur_Currie_Way
6678,Pegasus_Boulevard_&_Sir_Arthur_Currie_Way
6612,Gault_Boulevard_&_Sir_Arthur_Currie_Way
6343,Griesbach_School_Road_&_Griesbach_Road
6361,97_Street_&_144_Avenue
7001,Northgate_Transit_Centre
