715 Leger, 38 Stops
4208,Century_Park_Transit_Centre
4224,111_Street_&_23_Avenue
4593,Saddleback_Road_&_23_Avenue
4065,118_Street_&_23_Avenue
4838,119_Street_&_23_Avenue
4941,Magrath_Road_&_23_Avenue
4932,Magrath_Road_&_Massey_Way
4937,Magrath_Road_&_Magrath_Boulevard
4293,Magrath_View_&_Magrath_Boulevard
4510,Magrath_Boulevard_&_Martell_Crescent
4620,Magrath_Boulevard_&_May_Gate
4512,Magrath_Boulevard_&_MacNeil_Way
4318,Magrath_Boulevard_&_MacTaggart_Drive
4649,MacTaggart_Drive_&_May_Road
4502,MacTaggart_Crescent_&_MacTaggart_Drive
4492,MacTaggart_Court_&_MacTaggart_Drive
4501,MacLuhan_Road_&_MacTaggart_Drive
4503,Rabbit_Hill_Road_&_MacTaggart_Drive
4875,Singer_Gate_&_Rabbit_Hill_Road
4314,Mullen_Way_&_Rabbit_Hill_Road
4316,Mullen_Place_&_Mullen_Road
4101,South_Terwillegar_Drive_W_&_Rabbit_Hill_Road
4759,South_Terwillegar_Drive_&_Shaske_Gate
4884,Stein_Lane_&_South_Terwillegar_Drive
4518,South_Terwillegar_Drive_&_Simpson_Drive
4082,Stein_Way_&_Simpson_Drive
4658,156_Street_&_Simpson_Place
4936,156_Street_&_9_Avenue
4644,Schmid_Crescent_&_South_Terwillegar_Boulevard
4933,Thibault_Way_&_South_Terwillegar_Boulevard
4753,Stinson_Road_&_South_Terwillegar_Boulevard
4059,Terwillegar_Common_W_&_Terwillegar_Common_S
4854,Towne_Centre_Boulevard_&_Terwillegar_Boulevard
4010,Towne_Centre_Boulevard_&_Terwillegar_Common
4945,Towne_Centre_Boulevard_&_Taylor_Green
4009,Towne_Centre_Boulevard_&_Taylor_Close
4483,Towne_Centre_Boulevard_&_23_Avenue
4811,Leger_Transit_Centre
