717 Leger, 42 Stops
4209,Century_Park_Transit_Centre
4224,111_Street_&_23_Avenue
4593,Saddleback_Road_&_23_Avenue
4065,118_Street_&_23_Avenue
4838,119_Street_&_23_Avenue
4758,Hodgson_Way_&_23_Avenue
4114,Rabbit_Hill_Road_&_23_Avenue
4087,Rabbit_Hill_Road_&_Tory_Gate
4119,Rabbit_Hill_Road_&_Magrath_Boulevard
4643,Rabbit_Hill_Road_&_Terwillegar_Boulevard
4866,Rabbit_Hill_Road_&_Sandin_Way
4503,Rabbit_Hill_Road_&_MacTaggart_Drive
4875,Singer_Gate_&_Rabbit_Hill_Road
4237,South_Terwillegar_Drive_E_&_Rabbit_Hill_Road
4654,Rabbit_Hill_Road_&_South_Terwillegar_Drive_S
9203,Allan_Drive_&_Windermere_Boulevard
9201,Allan_Drive_&_Andrews_Way
9442,Allan_Crescent_&_Allan_Drive
9443,Allan_Crescent_&_Allan_Drive
9770,Austin_Link_&_Anderson_Way
9092,Anderson_Place_&_Anderson_Way
9632,172_Street_&_Washburn_Drive
9184,174_Street_&_Washburn_Drive
9703,Washburn_Drive_&_Wates_Link
9409,Washburn_Drive_&_Warry_Link
9553,Windermere_Wynd_&_Windermere_Boulevard
9556,Windermere_Wynd_&_Ware_Road
9554,Windermere_Wynd_&_Wheaton_Close
9555,Windermere_Wynd_&_Ware_Crescent
9526,Windermere_Road_&_Windermere_Wynd
9533,Windermere_Road_&_Ware_Gate
9537,Windermere_Road_&_Whitelaw_Lane
9620,Windermere_Way_&_Windermere_Boulevard
4939,Terwillegar_Drive_&_Haddow_Drive
4944,Hagen_Link_&_Haddow_Drive
4862,Haddow_Drive_&_Haswell_Gate_South
4987,Haddow_Drive_&_Haliburton_Road_S
4770,Haddow_Drive_&_Hunters_Green
4272,Haddow_Drive_&_Hunters_Green
4262,Haddow_Drive_&_Riverbend_Road
4885,Towne_Centre_Boulevard_&_23_Avenue
4812,Leger_Transit_Centre
