519 Mill_Woods, 51 Stops
4215,Century_Park_Transit_Centre
4582,111_Street_&_29_Avenue
4565,109_Street_&_29_Avenue
4131,109_Street_&_29_Avenue
4294,109_Street_&_28_Avenue
4236,109_Street_&_25_Avenue
4301,109_Street_&_23_Avenue
4481,105_Street_&_23_Avenue
4505,Calgary_Trail_&_23_Avenue
3307,102_Street_&_19_Avenue
3313,102_Street_&_17_Avenue
3314,102_Street_&_15_Avenue
3319,102_Street_&_13_Avenue
3972,Parsons_Road_&_13_Avenue
9411,Parsons_Road_&_Ellwood_Road
9031,Parsons_Road_&_Ellerslie_Road
9383,91_Street_&_Ellerslie_Road
9671,Summerside_Drive_&_Ellerslie_Road
9681,Summerside_Drive_&_11_Avenue
9188,87_Street_&_Summerside_Drive
9531,88_Street_&_Summerside_Drive
9686,88_Street_&_Summerside_Grande_Boulevard
9257,88_Street_&_20_Avenue
9827,85_Street_&_Savaryn_Drive
9824,Savaryn_Drive_&_22_Avenue
9823,78_Street_&_22_Avenue
9786,74_Street_&_22_Avenue
9789,Shaw_Way_&_22_Avenue
9821,69_Street_&_Shaw_Way
9822,68_Street_&_Shaw_Way
9372,66_Street_&_Winspear_Common
9370,Winspear_Common_&_Winspear_Crescent
9335,Wonnacott_Way_&_Watt_Drive
9431,Watt_Promenade_&_Watt_Drive
9130,Watt_Promenade_&_18_Avenue
9111,Watt_Promenade_&_Watt_Boulevard
9373,53_Street_&_Watt_Boulevard
9320,Watt_Common_&_Watt_Boulevard
9304,Watt_Common_&_Ellerslie_Road
9471,54_Street_&_Ellerslie_Road
9622,62_Street_&_Ellerslie_Road
9058,66_Street_&_Ellerslie_Road
9027,66_Street_&_6_Avenue
9040,66_Street_&_2_Avenue
3699,66_Street_&_12_Avenue
3882,66_Street_&_Mill_Woods_Road_S
3108,66_Street_&_19_Avenue
3092,66_Street_&_23_Avenue
3090,58_Street_&_23_Avenue
3126,Hewes_Way_&_23_Avenue
3904,Mill_Woods_Transit_Centre
