112 Castle_Downs, 28 Stops
6312,Eaux_Claires_Transit_Centre
7463,97_Street_&_160_Avenue
7748,97_Street_&_165_Avenue
7381,97_Street_&_167_Avenue
6139,97_Street_&_176_Avenue
6194,99_Street_&_176_Avenue
6135,102_Street_&_176_Avenue
6641,104_Street_&_176_Avenue
6735,107_Street_&_176_Avenue
6674,110_Street_&_176_Avenue
6548,113_Street_&_171_Avenue
6456,114_Street_&_171_Avenue
6099,115_Street_&_172_Avenue
6783,115_Street_&_174_Avenue
6950,120_Street_&_175_Avenue
66123,122_Street_&_Rapperswill_Drive
66111,Rapperswill_Drive_&_173_Avenue
6728,123_Street_&_Rapperswill_Drive
6682,125_Street_&_Rapperswill_Drive
6837,127_Street_&_Rapperswill_Drive
6743,127_Street_&_169_Avenue
6497,127_Street_&_167_Avenue
6601,127_Street_&_161_Avenue
6745,127_Street_&_158_Avenue
6486,126_Street_&_153_Avenue
6342,121_Street_&_153_Avenue
6445,Castle_Downs_Road_&_153_Avenue
6001,Castle_Downs_Transit_Centre
