508 Mill_Woods, 30 Stops
3704,Meadows_Transit_Centre
3611,Tamarack_Road_&_Maple_Road
3308,Tamarack_Road_&_37_Avenue
3720,Windross_Crescent_E_&_37_Avenue
3681,19_Street_&_37_Avenue
3969,19_Street_&_35_Avenue
3317,19_Street_&_34_Avenue
3970,21_Street_&_34_Avenue
3965,23_Street_&_34_Avenue
3820,25_Street_&_34_Avenue
3417,31_Street_&_34_Avenue
3104,31_Street_&_34_Avenue
3185,34_Street_&_35_Avenue
3017,34_Street_&_Kaufman_Way
3423,34_Street_&_34_Avenue
3439,37_Street_&_35_Avenue
3554,39_Street_&_36_Avenue
3233,Mill_Woods_Road_E_&_36_Avenue
3348,46_Street_&_36_Avenue
3237,48_Street_&_35_Avenue
3560,48_Street_&_32_Avenue
3595,48_Street_&_31_Avenue
3467,48_Street_&_28_Avenue
3652,50_Street_&_28_Avenue
3114,50_Street_&_25_Avenue
3190,50_Street_&_23_Avenue
3127,Hewes_Way_&_23_Avenue
3087,58_Street_&_23_Avenue
3967,66_Street_&_23_Avenue
3917,Mill_Woods_Transit_Centre
