124 Eaux_Claires, 58 Stops
5209,Westmount_Transit_Centre
5466,135_Street_&_114_Avenue
5322,135_Street_&_115_Avenue
5336,137_Street_&_115_Avenue
5429,139_Street_&_115_Avenue
5256,139_Street_&_116_Avenue
5196,139_Street_&_118_Avenue
5393,139_Street_&_122_Avenue
5188,Dovercourt_Avenue_&_123_Avenue
5549,135_Street_&_Dovercourt_Avenue
1867,St_Albert_Trail_&_Sherbrooke_Avenue
1665,131_Street_&_Sherbrooke_Avenue
1938,130_Street_&_Sherbrooke_Avenue
1661,129_Street_&_122_Avenue
1672,128_Street_&_122_Avenue
1735,127_Street_&_123_Avenue
6191,127_Street_&_127_Avenue
6333,127_Street_&_129_Avenue
6553,127_Street_&_131_Avenue
6487,127_Street_&_132_Avenue
6251,127_Street_&_134_Avenue
6142,127_Street_&_135_Avenue
6243,127_Street_&_137_Avenue
6179,127_Street_&_142_Avenue
6784,127_Street_&_145_Avenue
6415,127_Street_&_146_Avenue
6156,128_Street_&_148_Avenue
6473,129_Street_&_149_Avenue
6247,130_Street_&_150_Avenue
6620,132_Street_&_150_Avenue
6730,134_Street_&_153_Avenue
6891,131_Street_&_153_Avenue
6261,131_Street_&_155_Avenue
6174,129_Street_&_156_Avenue
6245,129_Street_&_158_Avenue
6651,128_Street_&_161_Avenue
66016,127_Street_&_161_Avenue
6384,124_Street_&_161_Avenue
6157,121_Street_&_161_Avenue
6564,121_Street_&_159_Avenue
6092,121_Street_&_157_Avenue
6094,119_Street_&_157_Avenue
6096,116_Street_&_157_Avenue
6520,Castle_Downs_Road_&_157_Avenue
6007,Castle_Downs_Transit_Centre
6699,Castle_Downs_Road_&_156_Avenue
6561,Castle_Downs_Road_&_157_Avenue
6182,Castle_Downs_Road_&_Beaumaris_Road
6527,112_Street_&_Beaumaris_Road
6028,109_Street_&_Beaumaris_Road
6030,Beaumaris_Road_&_Stirling_Road
6032,Beaumaris_Road_&_158_Avenue
66032,Beaumaris_Road_&_155_Avenue
6038,100_Street_&_156_Avenue
6040,100_Street_&_158_Avenue
6447,100_Street_&_160_Avenue
6362,97_Street_&_160_Avenue
6302,Eaux_Claires_Transit_Centre
