112 Eaux_Claires, 30 Stops
6001,Castle_Downs_Transit_Centre
6766,Castle_Downs_Road_&_153_Avenue
6873,119_Street_&_153_Avenue
6352,121_Street_&_153_Avenue
6228,126_Street_&_153_Avenue
6452,127_Street_&_153_Avenue
6419,127_Street_&_158_Avenue
6117,127_Street_&_161_Avenue
6202,127_Street_&_167_Avenue
6871,127_Street_&_Newcastle_Centre_Access
6405,125_Street_&_Rapperswill_Drive
6658,123_Street_&_Rapperswill_Drive
66197,Rapperswill_Drive_&_172_Avenue
66167,Rapperswill_Drive_&_175_Avenue
6105,120_Street_&_175_Avenue
6205,115_Street_&_175_Avenue
6338,115_Street_&_174_Avenue
6184,115_Street_&_172_Avenue
6166,114_Street_&_171_Avenue
6582,113_Street_&_171_Avenue
6883,112_Street_&_176_Avenue
6623,112_Street_&_176_Avenue
6721,110_Street_&_176_Avenue
6731,107_Street_&_176_Avenue
6331,104_Street_&_176_Avenue
6239,102_Street_&_176_Avenue
6598,99_Street_&_176_Avenue
6147,97_Street_&_Castle_Downs_Road
6362,97_Street_&_160_Avenue
6312,Eaux_Claires_Transit_Centre
