916 West_Edm_Mall, 50 Stops
8609,Lewis_Farms_Transit_Centre
8536,West_Henday_Promenade_Access_&_Webber_Greens_Drive
8042,Suder_Greens_Drive_&_Webber_Greens_Drive
8453,Suder_Greens_Drive_&_88_Avenue
8057,207_Street_&_Suder_Greens_Drive
8461,Lewis_Estates_Boulevard_&_Suder_Greens_Drive
8704,Lewis_Estates_Boulevard_&_Suder_Greens_Drive
8815,Lewis_Estates_Boulevard_&_Breckenridge_Drive
8135,Guardian_Road_&_Whitemud_Drive
88159,Guardian_Road_&_Granville_Drive
88157,Gallinger_Loop_&_Granville_Drive
88155,Granville_Drive_&_Greenough_Bay
88153,Granville_Drive_&_Glastonbury_Boulevard
88152,Granville_Link_&_Gourlay_Close
88151,Granville_Link_&_Getty_Heath
8595,Hemingway_Road_&_62_Avenue
8837,Hemingway_Road_&_60_Avenue
8985,Hemingway_Road_&_57_Avenue
8044,Hardy_Point_&_Hemingway_Road
8060,Hope_Road_&_Hemingway_Road
8745,206_Street_&_Hemingway_Road
8450,204_Street_&_Hemingway_Road
8549,204_Street_&_48_Avenue
8405,204_Street_&_46_Avenue
8088,Hilton_Crescent_&_44_Avenue
8138,Hilton_Drive_&_44_Avenue
8197,199_Street_&_44_Avenue
8547,199_Street_&_Hammond_Gate
8580,199_Street_&_45_Avenue
8721,199_Street_&_48_Avenue
8093,199_Street_&_Hemingway_Road
8834,199_Street_&_56_Avenue
8460,199_Street_&_62_Avenue
5718,188_Street_&_Callingwood_Road
5419,184_Street_&_Callingwood_Road
5741,184_Street_&_62_Avenue
5655,184_Street_&_64_Avenue
5790,184_Street_&_66_Avenue
5814,184_Street_&_69_Avenue
5818,180_Street_&_69_Avenue
5986,178_Street_&_69_Avenue
5854,178_Street_&_74_Avenue
5821,178_Street_&_76_Avenue
5749,178_Street_&_Whitemud_Drive
5923,178_Street_&_81_Avenue
5750,178_Street_&_85_Avenue
55070,178_Street_&_86_Avenue
5482,178_Street_&_87_Avenue
5690,178_Street_&_89_Avenue
5212,West_Edmonton_Mall_Transit_Centre
