501 Capilano, 41 Stops
2610,Davies_Transit_Centre
2189,80_Street_&_Wagner_Road
2184,86_Street_&_Wagner_Road
2092,86_Street_&_Coronet_Road
2244,86_Street_&_66_Avenue
22675,88_Street_&_66_Avenue
2224,88_Street_&_66_Avenue
2090,91_Street_&_66_Avenue
2081,94_Street_&_66_Avenue
2573,96_Street_&_66_Avenue
2178,96_Street_&_69_Avenue
2051,96_Street_&_71_Avenue
2335,96_Street_&_73_Avenue
2132,96_Street_&_75_Avenue
2265,96_Street_&_77_Avenue
22351,96_Street_&_80_Avenue
2428,96_Street_&_81_Avenue
2124,96_Street_&_82_Avenue
2527,93_Street_&_82_Avenue
2432,91_Street_&_82_Avenue
2036,91_Street_&_84_Avenue
2031,91_Street_&_88_Avenue
2596,92_Street_&_90_Avenue
2384,92_Street_&_92_Avenue
2133,92_Street_&_93_Avenue
23358,92_Street_&_95_Avenue
2334,87_Street_&_95_Avenue
2246,85_Street_&_95_Avenue
2364,Holyrood_Road_&_95_Avenue
2122,79_Street_&_95_Avenue
2892,76_Street_&_95_Avenue
2032,75_Street_&_94_Avenue
2487,73_Street_&_94_Avenue
2243,Ottewell_Road_&_94_Avenue
2064,68_Street_&_94_Avenue
2360,61_Street_&_94_Avenue
2426,58_Street_&_94_Avenue
2434,52_Street_&_94_Avenue
2059,50_Street_&_94_Avenue
2379,50_Street_&_98_Avenue
2305,Capilano_Transit_Centre
