707 Southgate, 20 Stops
4202,Century_Park_Transit_Centre
4224,111_Street_&_23_Avenue
4593,Saddleback_Road_&_23_Avenue
4065,118_Street_&_23_Avenue
4192,119_Street_&_23_Avenue
4497,119_Street_&_25_Avenue
4436,119_Street_&_28_Avenue
4558,119_Street_&_Westbrook_Drive
4195,119_Street_&_32_Avenue
4365,119_Street_&_34_Avenue
4433,119_Street_&_Fairway_Drive
4474,119_Street_&_40_Avenue
4078,117_Street_&_40_Avenue
4357,115_Street_&_40_Avenue
4136,115_Street_&_40_Avenue
4327,114_Street_&_40_Avenue
4062,112_Street_&_40_Avenue
4186,111_Street_&_40_Avenue
4054,111_Street_&_43_Avenue
2207,Southgate_Transit_Centre
