914 West_Edm_Mall, 32 Stops
5103,Jasper_Place_Transit_Centre
5353,159_Street_&_Stony_Plain_Road
5579,161_Street_&_Stony_Plain_Road
5249,163_Street_&_Stony_Plain_Road
5465,165_Street_&_Stony_Plain_Road
5060,167_Street_&_Stony_Plain_Road
5397,169_Street_&_Stony_Plain_Road
8819,170_Street_&_Stony_Plain_Road
5794,178_Street_&_Stony_Plain_Road
5769,178_Street_&_100_Avenue
5743,178_Street_&_98_Avenue
5730,180_Street_&_98_Avenue
5777,181_Street_&_98_Avenue
5780,182_Street_&_97_Avenue
5823,185_Street_&_97_Avenue
5826,187_Street_&_97_Avenue
5740,189_Street_&_97_Avenue
5903,189_Street_&_95_Avenue
5914,189_Street_&_93_Avenue
5959,189_Street_&_92_Avenue
5756,189_Street_&_89_Avenue
5763,189_Street_&_87_Avenue
5805,189_Street_&_86_Avenue
5868,189_Street_&_85_Avenue
5729,187_Street_&_84_Avenue
5837,184_Street_&_84_Avenue
5748,182_Street_&_84_Avenue
5924,182_Street_&_86_Avenue
5654,182_Street_&_87_Avenue
5482,178_Street_&_87_Avenue
5690,178_Street_&_89_Avenue
5840,West_Edmonton_Mall_Transit_Centre
