51 University, 43 Stops
6006,Castle_Downs_Transit_Centre
6137,Castle_Downs_Road_&_153_Avenue
6143,Castle_Downs_Road_&_152_Avenue
6541,Castle_Downs_Road_&_145_Avenue
6606,Castle_Downs_Road_&_139_Avenue
6368,Castle_Downs_Road_&_139_Avenue
6389,Castle_Downs_Road_&_137_Avenue
6278,113_Street_&_137_Avenue
6439,113_Street_&_134_Avenue
6570,116_Street_&_134_Avenue
6492,119_Street_&_134_Avenue
6128,122_Street_&_134_Avenue
6423,123_Street_&_135_Avenue
6346,125_Street_&_135_Avenue
6360,127_Street_&_135_Avenue
6426,127_Street_&_133_Avenue
6568,127_Street_&_132_Avenue
6366,127_Street_&_131_Avenue
6369,127_Street_&_129_Avenue
6289,127_Street_&_128_Avenue
1932,127_Street_&_124_Avenue
1762,127_Street_&_122_Avenue
1858,127_Street_&_120_Avenue
1799,127_Street_&_118_Avenue
1719,129_Street_&_118_Avenue
1066,Groat_Road_&_118_Avenue
5083,Groat_Road_&_118_Avenue
5035,Groat_Road_&_116_Avenue
5248,135_Street_&_115_Avenue
5051,135_Street_&_114_Avenue
5206,Westmount_Transit_Centre
5329,135_Street_&_111_Avenue
5073,135_Street_&_109_Avenue
5269,135_Street_&_109_Avenue
5445,134_Street_&_107_Avenue
2501,Groat_Road_&_Mayfair_Golf_Country_Club
2515,Groat_Road_&_Hawrelak_Park
2940,120_Street_&_87_Avenue
2920,119_Street_&_87_Avenue
2666,117_Street_&_87_Avenue
2844,116_Street_&_87_Avenue
2890,114_Street_&_89_Avenue
2002,University_Transit_Centre
