119 Eaux_Claires, 42 Stops
7904,West_Clareview_Transit_Centre
7439,50_Street_&_140_Avenue
7883,50_Street_&_144_Avenue
77120,50_Street_&_146_Avenue
7982,50_Street_&_Matheson_Way
7676,50_Street_&_McLeod_Road
77146,50_Street_&_153_Avenue
77275,50_Street_&_Brintnell_Boulevard
7879,50_Street_&_162_Avenue
77619,50_Street_&_162_Avenue
7153,50_Street_&_165_Avenue
77455,50_Street_&_167_Avenue
77649,52_Street_&_167_Avenue
77126,55_Street_&_167_Avenue
77130,McConachie_Way_&_167_Avenue
77149,McConachie_Boulevard_&_167_Avenue
77137,66_Street_&_167_Avenue
7717,71_Street_&_167_Avenue
77634,71_Street_&_170_Avenue
77326,71_Street_&_Schonsee_Drive
7561,76_Street_&_Schonsee_Drive
77437,Schonsee_Way_&_Schonsee_Drvie
77676,Schonsee_Drive_&_Crystallina_Nera_Way
77666,77_Street_&_Crystallina_Nera_Drive
77661,Crystallina_Nera_Way_&_Crystallina_Nera_Drive
77063,Crystallina_Nera_Way_&_178_Avenue
77062,77_Street_&_Crystallina_Nera_Way
77061,78_Street_&_Crystallina_Nera_Way
77139,82_Street_&_180_Avenue
77260,85_Street_&_180_Avenue
77145,87_Street_&_180_Avenue
77129,89_Street_&_180_Avenue
7283,91_Street_&_179_Avenue
7042,91_Street_&_177_Avenue
7395,91_Street_&_175_Avenue
7497,91_Street_&_172_Avenue
7483,91_Street_&_168_Avenue
7434,91_Street_&_167_Avenue
7945,95_Street_&_167_Avenue
7303,97_Street_&_165_Avenue
6362,97_Street_&_160_Avenue
6303,Eaux_Claires_Transit_Centre
