503 Davies, 27 Stops
3386,Millbourne_Road_E_&_38_Avenue
3380,68_Street_&_38_Avenue
3986,66_Street_&_38_Avenue
33350,66_Street_&_36_Avenue
3589,Millbourne_Road_E_&_36_Avenue
3442,Millbourne_Road_E_&_38_Avenue
3499,76_Street_&_38_Avenue
33114,Mill_Woods_Road_&_Millbourne_Road_West
3834,87_Street_&_Mill_Woods_Road
33118,92_Street_&_39_Avenue
3617,95_Street_&_39_Avenue
3982,97_Street_&_39_Avenue
33119,97_Street_&_41_Avenue
33116,97_Street_&_42_Avenue
22077,97_Street_&_45_Avenue
22078,97_Street_&_49_Avenue
22083,97_Street_&_56_Avenue
22671,97_Street_&_58_Avenue
2673,95_Street_&_58_Avenue
2777,94_Street_&_58_Avenue
2780,91_Street_&_58_Avenue
2823,88_Street_&_58_Avenue
2356,87_Street_&_58_Avenue
2338,86_Street_&_Davies_Road
22045,83_Street_&_Wagner_Road
22537,80_Street_&_Wagner_Road
2611,Davies_Transit_Centre
