5 Westmount, 57 Stops
1202,Coliseum_Transit_Centre
1327,80_Street_&_118_Avenue
1231,82_Street_&_118_Avenue
1121,85_Street_&_118_Avenue
1376,86_Street_&_118_Avenue
1252,88_Street_&_118_Avenue
1014,89_Street_&_118_Avenue
1494,90_Street_&_118_Avenue
1469,93_Street_&_118_Avenue
1574,95_Street_&_118_Avenue
1258,95_Street_&_117_Avenue
1170,95_Street_&_116_Avenue
1448,95_Street_&_115_Avenue
1150,95_Street_&_114_Avenue
1341,95_Street_&_113_Avenue
1324,95_Street_&_112_Avenue
1428,95_Street_&_111_Avenue
1535,95_Street_&_110_Avenue
1160,95_Street_&_109_Avenue
1039,95_Street_&_108_Avenue
1526,95_Street_&_107_Avenue
1473,95_Street_&_106_Avenue
1354,95_Street_&_105_Avenue
1463,95_Street_&_104_Avenue
1546,95_Street_&_103_Avenue
1222,95_Street_&_Jasper_Avenue
1328,96_Street_&_Jasper_Avenue
1120,99_Street_&_Jasper_Avenue
1262,100_Street_&_Jasper_Avenue
1620,101_Street_&_Jasper_Avenue
1673,103_Street_&_Jasper_Avenue
1622,104_Street_&_Jasper_Avenue
1619,106_Street_&_Jasper_Avenue
1959,108_Street_&_Jasper_Avenue_Nearside
1818,109_Street_&_Jasper_Avenue
1840,112_Street_&_Jasper_Avenue
1918,115_Street_&_Jasper_Avenue
1688,118_Street_&_Jasper_Avenue
1646,120_Street_&_Jasper_Avenue
1098,122_Street_&_Jasper_Avenue
1828,124_Street_&_102_Avenue
1640,124_Street_&_104_Avenue
1831,124_Street_&_106_Avenue
1846,124_Street_&_107_Avenue
1933,124_Street_&_108_Avenue
1879,124_Street_&_109_Avenue
1887,124_Street_&_109_Avenue
1882,124_Street_&_110_Avenue
1819,124_Street_&_111_Avenue
1696,124_Street_&_113_Avenue
1699,124_Street_&_114_Avenue
1635,127_Street_&_114_Avenue
1613,St_Albert_Trail_&_114_Avenue
1901,132_Street_&_114_Avenue
5925,135_Street_&_114_Avenue
5051,135_Street_&_114_Avenue
5210,Westmount_Transit_Centre
