903 Kingsway_Rah, 33 Stops
5107,Jasper_Place_Transit_Centre
5360,156_Street_&_102_Avenue
5050,156_Street_&_104_Avenue
5064,156_Street_&_105_Avenue
5462,156_Street_&_107_Avenue
55209,156_Street_&_109_Avenue
5243,156_Street_&_110_Avenue
5142,156_Street_&_111_Avenue
5251,156_Street_&_114_Avenue
5487,156_Street_&_116_Avenue
5034,156_Street_&_118_Avenue
5928,154_Street_&_118_Avenue
5368,152_Street_&_118_Avenue
5806,151_Street_&_118_Avenue
5541,149_Street_&_118_Avenue
5099,145_Street_&_118_Avenue
5244,142_Street_&_118_Avenue
5330,139_Street_&_118_Avenue
5531,135_Street_&_118_Avenue
5224,133_Street_&_118_Avenue
1716,Groat_Road_&_118_Avenue
1838,129_Street_&_118_Avenue
1739,127_Street_&_118_Avenue
1847,123_Street_&_118_Avenue
1778,121_Street_&_Kingsway
1731,119_Street_&_Kingsway
1994,117_Street_&_Kingsway
1752,115_Street_&_Kingsway
1849,Tower_Road_&_Kingsway
1803,Princess_Elizabeth_Avenue_&_Kingsway
1951,109_Street_&_Kingsway
11326,107_Street_&_111_Avenue
1106,Kingsway_RAH_Transit_Centre
