930 South_Campus_Express, 30 Stops
8457,Glastonbury_Boulevard_&_62_Avenue
8402,205_Street_&_62_Avenue
8585,Goodwin_Gate_&_62_Avenue
8320,Getty_Gate_&_62_Avenue
8595,Hemingway_Road_&_62_Avenue
8837,Hemingway_Road_&_60_Avenue
8985,Hemingway_Road_&_57_Avenue
8044,Hardy_Point_&_Hemingway_Road
8060,Hope_Road_&_Hemingway_Road
8745,206_Street_&_Hemingway_Road
8363,204_Street_&_Hemingway_Road
8223,201_Street_&_Hemingway_Road
8113,200_Street_&_Hemingway_Road
8093,199_Street_&_Hemingway_Road
8834,199_Street_&_56_Avenue
8106,199_Street_&_62_Avenue
8425,Glastonbury_Boulevard_&_62_Avenue
8437,Glastonbury_Boulevard_&_Gibb_Wynd
8352,Glastonbury_Boulevard_&_Galland_Crescent
8238,Glastonbury_Boulevard_&_Galland_Crescent
8928,Glastonbury_Boulevard_&_69_Avenue
8089,199_Street_&_69_Avenue
8361,199_Street_&_69_Avenue
8367,199_Street_&_Glenwright_Crescent
8036,Garnett_Way_&_Guardian_Road
8489,Grantham_Court_&_Guardian_Road
8235,Grantham_Court_&_Guardian_Road
8033,Guardian_Road_&_Granville_Drive
22159,116_Street_&_68_Avenue
2714,South_Campus_Fort_Edmonton_Transit_Centre
