729 Century_Park, 25 Stops
4801,Leger_Transit_Centre
43332,Terwillegar_Drive_&_Riverbend_Road
43334,Terwillegar_Drive_&_Haddow_Drive
99469,Keswick_Drive_&_Keswick_Gate
9612,Keswick_Drive_&_Keene_Crescent
9610,175_Street_&_Hiller_Road
9803,Kostash_Drive_&_Hiller_Road
99003,182_Street_&_15_Avenue
99004,182_Street_&_Keswick_Way
99062,182_Street_&_Keswick_Drive
99081,Keswick_Link_&_28_Avenue
99037,Glenridding_Ravine_Drive_&_Rabbit_Hill_Road
99030,Glenridding_Ravine_Wynd_&_Glenridding_Ravine_Drive
99658,159_Street_&_28_Avenue
99187,Rabbit_Hill_Road_&_28_Avenue
99016,Rabbit_Hill_Road_&_Glenridding_Ravine_Road
9441,Rabbit_Hill_Road_&_Glenridding_Ravine_Road
9474,Rabbit_Hill_Road_&_Glenridding_Ravine_Road
9631,Rabbit_Hill_Road_&_Ellerslie_Road
4106,111_Street_&_9_Avenue
4864,111_Street_&_12_Avenue
4440,111_Street_&_19_Avenue
4961,111_Street_&_19_Avenue
4548,111_Street_&_23_Avenue
4216,Century_Park_Transit_Centre
