715 Century_Park, 36 Stops
4811,Leger_Transit_Centre
4530,Towne_Centre_Boulevard_&_Trelle_Way
4966,Towne_Centre_Boulevard_&_Tompkins_Wynd
4100,Towne_Centre_Boulevard_&_Tompkins_Way
4751,Towne_Centre_Boulevard_&_Terwillegar_Common
4882,Towne_Centre_Boulevard_&_Terwillegar_Boulevard
4007,Terwillegar_Common_&_Terwillegar_Boulevard
4645,Terwillegar_Common_W_&_South_Terwillegar_Boulevard
4750,Thibault_Way_&_South_Terwillegar_Boulevard
4935,156_Street_&_South_Terwillegar_Boulevard
4018,156_Street_&_9_Avenue
4660,Simpson_Drive_&_Simpson_Place
4744,Stein_Way_&_Simpson_Drive
4748,South_Terwillegar_Drive_&_Simpson_Drive
4931,Stein_Lane_&_South_Terwillegar_Drive
4647,South_Terwillegar_Drive_&_Shaske_Gate
4346,Rabbit_Hill_Road_&_Mullen_Road
4349,Mullen_Place_&_Mullen_Road
4942,Mullen_Way_&_Rabbit_Hill_Road
4745,McLuhan_Road_&_Rabbit_Hill_Road
4529,Rabbit_Hill_Road_&_MacTaggart_Drive
4509,McLuhan_Road_&_MacTaggart_Drive
4511,MacTaggart_Crest_&_MacTaggart_Drive
4640,MacTaggart_Drive_&_MacTaggart_Place
4648,MacTaggart_Drive_&_May_Road
4504,Magrath_Boulevard_&_McClung_Crescent
4508,Magrath_Boulevard_&_McClung_Crescent
4305,Magrath_Boulevard_&_May_Link
4296,Magrath_View_&_Magrath_Boulevard
4740,Magrath_Road_&_Magrath_Boulevard
4506,Magrath_Road_&_Massey_Way
4110,Magrath_Road_&_23_Avenue
4075,119_Street_&_23_Avenue
4443,118_Street_&_23_Avenue
4164,Saddleback_Road_&_23_Avenue
4208,Century_Park_Transit_Centre
