709 Southgate, 23 Stops
4213,Century_Park_Transit_Centre
4582,111_Street_&_29_Avenue
4565,109_Street_&_29_Avenue
4131,109_Street_&_29_Avenue
4294,109_Street_&_28_Avenue
4157,109_Street_&_25_Avenue
4176,107_Street_&_25_Avenue
4326,106_Street_&_25_Avenue
4185,105_Street_&_25_Avenue
4576,105_Street_&_26_Avenue
4079,105_Street_&_28_Avenue
4564,106_Street_&_29_Avenue
4149,106_Street_&_31_Avenue
4133,106_Street_&_32_Avenue
4384,106_Street_&_34_Avenue
4058,106_Street_&_35_Avenue
4431,106_Street_&_36_Avenue
4485,106_Street_&_38_Avenue
4286,106_Street_&_40_Avenue
4559,108_Street_&_40_Avenue
4186,111_Street_&_40_Avenue
4054,111_Street_&_43_Avenue
2206,Southgate_Transit_Centre
