518 Century_Park, 49 Stops
3905,Mill_Woods_Transit_Centre
3092,66_Street_&_23_Avenue
3090,58_Street_&_23_Avenue
3670,Hewes_Way_&_23_Avenue
3821,50_Street_&_23_Avenue
3823,50_Street_&_19_Avenue
3799,50_Street_&_Mill_Woods_Road_South
3791,50_Street_&_13_Avenue
9466,50_Street_&_1_Avenue
9287,50_Street_&_4_Avenue
9288,52_Street_&_4_Avenue
9235,54_Street_&_3_Avenue
9236,55_Street_&_3_Avenue
9238,59_Street_&_3_Avenue
9028,62_Street_&_2_Avenue
9029,62_Street_&_5_Avenue
9036,62_Street_&_7_Avenue
9455,Watt_Boulevard_&_Ellerslie_Road
9626,Watt_Boulevard_&_12_Avenue
9627,Watt_Boulevard_&_Welsh_Drive
9628,63_Street_&_Welsh_Drive
9134,66_Street_&_Stanton_Drive
9787,69_Street_&_Stanton_Drive
9063,70_Street_&_Stanton_Drive
9678,Stanton_Drive_&_14_Avenue
9830,Stanton_Drive_&_12_Avenue
9121,Edwards_Drive_&_Ellerslie_Road
9230,Edwards_Drive_&_8_Avenue
9487,Edwards_Drive_&_7_Avenue
9035,Edwards_Drive_&_5_Avenue
9683,83_Street_&_Edwards_Drive
9676,85_Street_&_Edwards_Drive
9039,Easton_Road_&_Edwards_Drive
9254,91_Street_&_Ellwood_Drive
9135,Ellwood_Road_&_Ellwood_Drive
9385,Parsons_Road_&_Ellwood_Road
9539,225_Parsons_Road
3101,Parsons_Road_&_13_Avenue
3865,99_Street_&_Parsons_Road
3639,99_Street_&_19_Avenue
3774,99_Street_&_19_Avenue
3635,99_Street_&_20_Avenue
3743,99_Street_&_22_Avenue
3742,99_Street_&_23_Avenue
4196,Calgary_Trail_SB_&_23_Avenue
4445,105_Street_&_23_Avenue
4004,109_Street_&_23_Avenue
4118,110_Street_&_23_Avenue
4206,Century_Park_Transit_Centre
