718 Leger, 27 Stops
4207,Century_Park_Transit_Centre
4477,111_Street_&_Saddleback_Road_S_Ent
4105,111_Street_&_12_Avenue
4790,111_Street_&_9_Avenue
9630,Rabbit_Hill_Road_&_Ellerslie_Road
9071,Glenridding_Gate_&_Ellerslie_Road
9464,Glenridding_Way_&_13_Avenue
9585,Glenridding_Way_&_Glenridding_Boulevard
9608,162_Street_&_Glenridding_Boulevard
9577,164_Street_&_Glenridding_Boulevard
9560,Armour_Bend_&_Ellerslie_Road
9575,170_Street_&_Hiller_Road
9305,175_Street_&_Hiller_Road
9079,175_Street_&_10_Avenue
9078,178_Street_&_10_Avenue
9571,Wright_Drive_&_8_Avenue
9462,178_Street_&_Wright_Drive
9184,174_Street_&_Washburn_Drive
9705,Washburn_Drive_&_Wates_Link
9706,Watchers_Way_&_Wates_Link
9709,Windermere_Way_&_Wates_Link
9567,Windermere_Way_&_Windermere_Boulevard
9566,Windermere_Way_&_Windermere_Boulevard
9620,Windermere_Way_&_Windermere_Boulevard
43333,Terwillegar_Drive_&_Haddow_Road
4885,Towne_Centre_Boulevard_&_23_Avenue
4810,Leger_Transit_Centre
