518 Mill_Woods, 47 Stops
4206,Century_Park_Transit_Centre
4582,111_Street_&_29_Avenue
4565,109_Street_&_29_Avenue
4131,109_Street_&_29_Avenue
4294,109_Street_&_28_Avenue
4236,109_Street_&_25_Avenue
4301,109_Street_&_23_Avenue
4481,105_Street_&_23_Avenue
4505,Calgary_Trail_&_23_Avenue
3727,99_Street_&_22_Avenue
3642,99_Street_&_21_Avenue
3760,99_Street_&_20_Avenue
3641,99_Street_&_19_Avenue
3630,99_Street_&_19_Avenue
3675,99_Street_&_Parsons_Road
3972,Parsons_Road_&_13_Avenue
9061,Parsons_Road_&_Ellwood_Drive
9156,Ellwood_Road_&_Ellwood_Drive
9662,91_Street_&_Edwards_Drive
9384,Easton_Road_&_Edwards_Drive
9033,85_Street_&_Edwards_Drive
9679,Edwards_Drive_&_5_Avenue
9148,Edwards_Drive_&_6_Avenue
9250,Edwards_Drive_&_8_Avenue
9677,Stanton_Drive_&_Ellerslie_Road
9045,Stanton_Drive_&_12_Avenue
9037,Stanton_Drive_&_13_Avenue
9125,70_Street_&_Stanton_Drive
9126,69_Street_&_Stanton_Drive
9129,66_Street_&_Welsh_Drive
9623,63_Street_&_Welsh_Drive
9624,Watt_Boulevard_&_Welsh_Drive
9625,Watt_Boulevard_&_12_Avenue
9456,Watt_Boulevard_&_Ellerslie_Road
9166,62_Street_&_8_Avenue
9067,62_Street_&_5_Avenue
9233,59_Street_&_3_Avenue
9621,56_Street_&_3_Avenue
9289,52_Street_&_4_Avenue
9290,52_Street_&_4_Avenue
9465,50_Street_&_Ivor_Dent_Park_Road
3790,50_Street_&_13_Avenue
3795,50_Street_&_Mill_Woods_Road_South
3822,50_Street_&_19_Avenue
3190,50_Street_&_23_Avenue
3126,Hewes_Way_&_23_Avenue
3905,Mill_Woods_Transit_Centre
