507 Southgate, 57 Stops
3691,Tamarack_Green_&_35_Avenue
3608,12_Street_&_Tamarack_Green
3610,Tamarack_Road_&_Tamarack_Green
3192,Tamarack_Road_&_37_Avenue
3193,Tamarack_Road_&_37_Avenue
3506,Tamarack_Way_&_Maple_Road
3708,Meadows_Transit_Centre
3958,17_Street_&_Tamarack_Way
3749,17_Street_&_38_Avenue
3720,Windross_Crescent_E_&_37_Avenue
3653,21_Street_&_37_Avenue
3411,23_Street_&_37_Avenue
3731,24_Street_&_37_Avenue
3770,29_Street_&_37_Avenue
3596,31_Street_&_37_Avenue
3384,34_Street_&_38_Avenue
3298,34_Street_&_38_Avenue
3527,38_Street_&_38_Avenue
3726,41_Street_&_38_Avenue
3796,44_Street_&_38_Avenue
3798,44_Street_&_39_Avenue
3275,44_Street_&_Kulawy_Gate
3490,44_Street_&_41_Avenue
3545,44_Street_&_43_Avenue
3449,Jackson_Road_&_44_Avenue
3586,49_Street_&_44_Avenue
3626,50_Street_&_44_Avenue
34668,50_Street_&_40_Avenue
3397,55_Street_&_40_Avenue
3539,57_Street_&_40_Avenue
3538,Granlea_Crescent_E_Ent_&_40_Avenue
3222,62_Street_&_Grand_Meadow_Crescent
3461,62_Street_&_38_Avenue
33352,66_Street_&_38_Avenue
3231,66_Street_&_38_Avenue
3442,Millbourne_Road_E_&_38_Avenue
3238,76_Street_&_38_Avenue
3270,76_Street_&_40_Avenue
3220,76_Street_&_41_Avenue
3347,76_Street_&_Millbourne_Road_E
2111,Millgate_TC_on_86_Street_Bay
2273,86_Street_&_51_Avenue
2297,87_Street_&_51_Avenue
2377,88_Street_&_51_Avenue
2424,89_Street_&_51_Avenue
2381,91_Street_&_51_Avenue
2463,93_Street_&_51_Avenue
2482,97_Street_&_51_Avenue
2266,99_Street_&_51_Avenue
2296,Gateway_Boulevard_&_51_Avenue
2156,Calgary_Trail_SB_&_51_Avenue
2635,105_Street_&_51_Avenue
2888,106_Street_&_51_Avenue
22723,106_Street_&_47_Avenue
2589,106_Street_&_Whitemud_Drive
2179,108_Street_&_Whitemud_Drive
2212,Southgate_Transit_Centre
