903 Jasper_Place, 36 Stops
1106,Kingsway_RAH_Transit_Centre
1886,108_Street_&_Kingsway
1797,109_Street_&_Kingsway
1607,Princess_Elizabeth_Avenue_&_Kingsway
1900,Tower_Road_&_Kingsway
1904,Airport_Road_E_&_Kingsway
1634,117_Street_&_Kingsway
1653,Airport_Road_W_&_Kingsway
1896,Airport_Road_W_&_Kingsway
1821,122_Street_&_118_Avenue
1669,124_Street_&_118_Avenue
1799,127_Street_&_118_Avenue
1719,129_Street_&_118_Avenue
1066,Groat_Road_&_118_Avenue
5026,133_Street_&_118_Avenue
5338,135_Street_&_118_Avenue
5184,139_Street_&_118_Avenue
5092,141_Street_&_118_Avenue
5143,142_Street_&_118_Avenue
5137,145_Street_&_118_Avenue
5286,147_Street_&_118_Avenue
5357,149_Street_&_118_Avenue
5078,152_Street_&_118_Avenue
5389,154_Street_&_118_Avenue
5444,156_Street_&_118_Avenue
5467,156_Street_&_116_Avenue
5075,156_Street_&_114_Avenue
5223,156_Street_&_112_Avenue
5152,156_Street_&_111_Avenue
5226,156_Street_&_110_Avenue
5533,156_Street_&_109_Avenue
5550,156_Street_&_107_Avenue
5227,156_Street_&_105_Avenue
5532,156_Street_&_104_Avenue
5476,156_Street_&_102_Avenue
5107,Jasper_Place_Transit_Centre
