523 Downtown, 51 Stops
3909,Mill_Woods_Transit_Centre
3089,66_Street_&_27_Avenue
3462,Youville_Drive_W_&_28_Avenue
3426,Youville_Drive_W_&_29_Avenue
3435,Youville_Drive_W_&_31_Avenue
3369,60_Street_&_Youville_Drive_W
3850,58_Street_&_34_Avenue
33115,66_Street_&_34_Avenue
33113,71_Street_&_34_Avenue
3424,Mill_Woods_Road_&_34_Avenue
3381,82_Street_&_34_Avenue
3463,91_Street_&_34_Avenue
3482,92_Street_&_34_Avenue
3120,93_Street_&_34_Avenue
3091,97_Street_&_34_Avenue
3199,97_Street_&_33_Avenue
3272,97_Street_&_31_Avenue
3099,Parsons_Road_&_31_Avenue
3182,Parsons_Road_&_33_Avenue
3093,Parsons_Road_&_34_Avenue
3198,99_Street_&_36_Avenue
3098,99_Street_&_37_Avenue
3183,99_Street_&_39_Avenue
3197,99_Street_&_41_Avenue
3184,99_Street_&_42_Avenue
2228,99_Street_&_44_Avenue
2352,99_Street_&_45_Avenue
2238,99_Street_&_48_Avenue
2685,99_Street_&_51_Avenue
2874,99_Street_&_56_Avenue
2832,99_Street_&_60_Avenue
2734,99_Street_&_62_Avenue
2859,99_Street_&_63_Avenue
2855,99_Street_&_66_Avenue
2827,99_Street_&_68_Avenue
2779,99_Street_&_70_Avenue
2621,99_Street_&_73_Avenue
2692,99_Street_&_76_Avenue
22729,99_Street_&_79_Avenue
2697,99_Street_&_82_Avenue
2824,99_Street_&_83_Avenue
2679,99_Street_&_85_Avenue
2870,99_Street_&_87_Avenue
2829,99_Street_&_89_Avenue
2850,99_Street_&_92_Avenue
2883,Scona_Road_&_94_Avenue
2134,Low_Level_Bridge_&_98_Avenue
1190,McDougall_Hill_&_Grierson_Hill
1457,100_Street_&_Jasper_Avenue
1321,100_Street_&_102_Avenue
1804,100_Street_&_102_Avenue
