54 West_Edm_Mall, 61 Stops
7902,West_Clareview_Transit_Centre
7647,Manning_Drive_&_137_Avenue
7228,56_Street_&_137_Avenue
77622,58_Street_&_137_Avenue
77181,63_Street_&_137_Avenue
7479,68_Street_&_137_Avenue
77431,70_Street_&_137_Avenue
77350,74_Street_&_137_Avenue
77355,79_Street_&_137_Avenue
7872,82_Street_&_137_Avenue
7750,87_Street_&_137_Avenue
7617,90_Street_&_137_Avenue
7011,Northgate_Transit_Centre
66112,97_Street_&_137_Avenue
6260,102_Street_&_137_Avenue
6436,104_Street_&_137_Avenue
6558,108_Street_&_137_Avenue
6195,Admiral_Girouard_Street_&_137_Avenue
6681,Castle_Downs_Road_&_137_Avenue
6736,116_Street_&_137_Avenue
6365,119_Street_&_137_Avenue
6433,122_Street_&_137_Avenue
6474,123_Street_&_137_Avenue
6621,127_Street_&_137_Avenue
6146,127_Street_&_137_Avenue
6852,131_Street_&_137_Avenue
6279,133_Street_&_137_Avenue
6290,135_Street_&_137_Avenue
6770,139_Street_&_137_Avenue
6210,142_Street_&_137_Avenue
6592,St_Albert_Trail_&_137_Avenue
6216,Mistatim_Road_&_137_Avenue
6483,149_Street_&_137_Avenue
6630,156_Street_&_137_Avenue
6777,164_Street_&_137_Avenue
6118,170_Street_&_137_Avenue
6718,170_Street_&_135_Avenue
6872,170_Street_&_132_Avenue
6207,170_Street_&_129_Avenue
6188,170_Street_&_128_Avenue
66140,170_Street_&_122_Avenue
8191,170_Street_&_118_Avenue
8122,170_Street_&_117_Avenue
8483,170_Street_&_114_Avenue
8497,170_Street_&_111_Avenue
8395,170_Street_&_109_Avenue
8861,170_Street_&_107_Avenue
8629,172_Street_&_107_Avenue
8917,176_Street_&_107_Avenue
8952,178_Street_&_107_Avenue
8890,178_Street_&_106_Avenue
8765,178_Street_&_105_Avenue
8838,178_Street_&_103_Avenue
8752,178_Street_&_102_Avenue
5794,178_Street_&_Stony_Plain_Road
5769,178_Street_&_100_Avenue
5743,178_Street_&_98_Avenue
5273,178_Street_&_98_Avenue
5297,178_Street_&_96_Avenue
5377,178_Street_&_95_Avenue
5212,West_Edmonton_Mall_Transit_Centre
