53 Mill_Woods, 49 Stops
7905,West_Clareview_Transit_Centre
77632,Fort_Road_&_136_Avenue
7224,Fort_Road_&_134_Avenue
7531,Fort_Road_&_133_Avenue
7330,Fort_Road_&_131_Avenue
7203,Belvedere_Transit_Centre
7244,64_Street_&_Fort_Road
7146,Fort_Road_&_127_Avenue
7453,Fort_Road_&_125_Avenue
1143,75_Street_&_Fort_Road
1137,Fort_Road_&_122_Avenue
1286,Fort_Road_&_121_Avenue
1357,78_Street_&_120_Avenue
1210,Coliseum_Transit_Centre
1131,76_Street_&_118_Avenue
1041,Wayne_Gretzky_Drive_S_&_112_Avenue
2144,67_Street_&_106_Avenue
2475,65_Street_&_106_Avenue
2493,65_Street_&_104_Avenue
22676,Fulton_Road_&_103_Avenue
2586,50_Street_&_104_Avenue
2054,50_Street_&_103_Avenue
2186,50_Street_&_101_Avenue
2192,50_Street_&_101_Avenue
2291,50_Street_&_98_Avenue
2303,Capilano_Transit_Centre
2532,50_Street_&_98_Avenue
2985,50_Street_&_94_Avenue
2919,50_Street_&_93_Avenue
2775,50_Street_&_92_Avenue
2194,50_Street_&_90_Avenue
2362,50_Street_&_76_Avenue
2147,50_Street_&_72_Avenue
2979,50_Street_&_68_Avenue
2008,50_Street_&_67_Avenue
2970,50_Street_&_Eleniak_Road
2774,50_Street_&_Roper_Road
2818,50_Street_&_55_Avenue
2013,50_Street_&_Whitemud_Drive
3621,50_Street_&_Whitemud_Drive
3626,50_Street_&_44_Avenue
3650,50_Street_&_40_Avenue
3661,50_Street_&_38_Avenue
3792,50_Street_&_34_Avenue
3728,50_Street_&_31_Avenue
3533,50_Street_&_28_Avenue
3550,Youville_Drive_E_&_28_Avenue
3121,Hewes_Way_&_28_Avenue
3902,Mill_Woods_Transit_Centre
