701 Southgate, 45 Stops
1108,Kingsway_RAH_Transit_Centre
1024,102_Street_&_111_Avenue
1377,102_Street_&_111_Avenue
1221,97_Street_&_111_Avenue
1022,97_Street_&_109_Avenue
1284,97_Street_&_108_Avenue
1250,97_Street_&_107_Avenue
1421,97_Street_&_105_Avenue
11309,97_Street_&_103_Avenue
1064,101_Street_&_103_Avenue
1243,101_Street_&_102_Avenue
1620,101_Street_&_Jasper_Avenue
1673,103_Street_&_Jasper_Avenue
1622,104_Street_&_Jasper_Avenue
1964,107_Street_&_Jasper_Avenue
1941,107_Street_&_100_Avenue
1305,Government_Transit_Centre
1792,107_Street_&_97_Avenue
1629,106_Street_&_96_Avenue
1993,106_Street_&_97_Avenue
1567,109_Street_&_97_Avenue
2768,109_Street_&_Saskatchewan_Drive
2899,107_Street_&_Saskatchewan_Drive
2797,105_Street_&_Saskatchewan_Drive
22732,104_Street_&_Saskatchewan_Drive
2896,104_Street_&_84_Avenue
2821,104_Street_&_82_Avenue
2669,104_Street_&_80_Avenue
2799,104_Street_&_78_Avenue
2725,104_Street_&_76_Avenue
2843,106_Street_&_76_Avenue
2766,106_Street_&_73_Avenue
2634,106_Street_&_70_Avenue
2735,106_Street_&_68_Avenue
2789,106_Street_&_66_Avenue
2664,106_Street_&_64_Avenue
2867,106_Street_&_61_Avenue
2665,106_Street_&_60_Avenue
28358,106_Street_&_56_Avenue
28357,106_Street_&_53_Avenue
2888,106_Street_&_51_Avenue
22723,106_Street_&_47_Avenue
2589,106_Street_&_Whitemud_Drive
2179,108_Street_&_Whitemud_Drive
2214,Southgate_Transit_Centre
