519 Century_Park, 44 Stops
3904,Mill_Woods_Transit_Centre
3893,66_Street_&_23_Avenue
3651,66_Street_&_19_Avenue
3689,66_Street_&_Mill_Woods_Road_S
3734,66_Street_&_12_Avenue
9046,66_Street_&_2_Avenue
9049,66_Street_&_6_Avenue
98225,66_Street_&_Ellerslie_Road
9303,Watt_Common_&_Ellerslie_Road
9795,Watt_Common_&_Watt_Boulevard
9374,53_Street_&_Watt_Boulevard
9765,57_Street_&_Watt_Boulevard
9761,Watt_Promenade_&_Watt_Boulevard
9113,Watt_Promenade_&_18_Avenue
9336,Watt_Promenade_&_Watt_Drive
9337,61_Street_&_Watt_Drive
9110,Winspear_Crescent_&_Winspear_Common
9766,66_Street_&_Shaw_Way
9767,69_Street_&_Shaw_Way
9145,70_Street_&_Shaw_Way
9782,Shaw_Way_&_22_Avenue
9784,78_Street_&_22_Avenue
9109,Saly_Place_&_Savaryn_Drive
9118,88_Street_&_Savaryn_Drive
9119,88_Street_&_20_Avenue
9670,88_Street_&_Summerside_Grande_Boulevard
9833,88_Street_&_14_Avenue
9391,87_Street_&_Summerside_Drive
9445,Summerside_Drive_&_12_Avenue
9476,85_Street_&_Ellerslie_Road
9131,91_Street_&_Ellerslie_Road
9447,Parsons_Road_&_Ellerslie_Road
9385,Parsons_Road_&_Ellwood_Road
9539,225_Parsons_Road
3513,Parsons_Road_&_13_Avenue
3515,102_Street_&_13_Avenue
3100,102_Street_&_15_Avenue
3516,102_Street_&_17_Avenue
3776,102_Street_&_19_Avenue
4196,Calgary_Trail_SB_&_23_Avenue
4445,105_Street_&_23_Avenue
4004,109_Street_&_23_Avenue
4118,110_Street_&_23_Avenue
4215,Century_Park_Transit_Centre
