717 Century_Park, 43 Stops
4812,Leger_Transit_Centre
4938,Leger_Road_&_23_Avenue
4463,Haddow_Drive_&_Riverbend_Road
4681,Haddow_Drive_&_Hunters_Green
4005,Haddow_Drive_&_Hector_Road
4103,Hanna_Crescent_&_Haddow_Drive
4016,Hanna_Crescent_E_&_Haddow_Drive
43334,Terwillegar_Drive_&_Haddow_Drive
9415,Windermere_Road_&_Windermere_Boulevard
9448,Windermere_Road_&_Whitelaw_Lane
9796,Windermere_Road_&_Whitelaw_Gate
9486,Windermere_Road_&_Windermere_Court
9557,Windermere_Wynd_&_Ware_Crescent
9558,Windermere_Wynd_&_Wheaton_Drive
9559,Windermere_Wynd_&_Wahl_Place
9407,Washburn_Drive_&_Windermere_Boulevard
9722,Washburn_Drive_&_Watcher_Way
9702,Washburn_Drive_&_Wates_Link
9176,Wright_Drive_&_Washburn_Drive
9713,172_Street_&_Washburn_Drive
9093,Anderson_Crescent_W_Ent_&_Anderson_Way
9094,Anderson_Crescent_E_Ent_&_Anderson_Way
9438,Allan_Crescent_&_Allan_Drive
9439,Allan_Way_&_Allan_Drive
9200,Allan_Drive_&_Andrews_Gate
9202,Allan_Drive_&_Andrews_Loop
9815,Allan_Drive_&_Windermere_Boulevard
4683,South_Terwillegar_Drive_W_&_Rabbit_Hill_Road
4942,Mullen_Way_&_Rabbit_Hill_Road
4745,McLuhan_Road_&_Rabbit_Hill_Road
4382,Rabbit_Hill_Road_&_MacTaggart_Drive
4651,Rabbit_Hill_Road_&_Maynard_Way
4949,Rabbit_Hill_Road_&_MacTaggart_Drive
4019,Rabbit_Hill_Road_&_Magrath_Boulevard
4659,Rabbit_Hill_Road_&_Tory_Gate
4109,Rabbit_Hill_Road_&_23_Avenue
4367,Rabbit_Hill_Road_&_23_Avenue
4632,Magrath_Road_&_23_Avenue
4110,Magrath_Road_&_23_Avenue
4075,119_Street_&_23_Avenue
4443,118_Street_&_23_Avenue
4164,Saddleback_Road_&_23_Avenue
4209,Century_Park_Transit_Centre
