703 Leger, 28 Stops
2705,South_Campus_Fort_Edmonton_Transit_Centre
22160,116_Street_&_68_Avenue
2504,Keillor_Road_&_Fox_Drive
4567,Whitemud_Drive_SB_&_53_Avenue
4021,Whitemud_Drive_SB_&_53_Avenue
4199,Riverbend_Road_&_53_Avenue
4398,Riverbend_Road_&_48_Avenue
4430,Riverbend_Road_&_45_Avenue
4231,Riverbend_Road_&_43_Avenue
4380,Riverbend_Road_&_40_Avenue
4441,Riverbend_Road_&_Rhatigan_Road_W
4126,Riverbend_Road_&_Rhatigan_Road_W
4042,Riverbend_Road_&_Rabbit_Hill_Road
4320,Falconer_Road_&_Rabbit_Hill_Road
4138,Riverbend_Square_&_Rabbit_Hill_Road
4539,Ryan_Place_&_Rabbit_Hill_Road
4073,Terwillegar_Drive_&_Rabbit_Hill_Road
4366,Carter_Crest_Road_W_&_Rabbit_Hill_Road
4568,Carter_Crest_Road_&_Carlson_Close
4093,1327_Carter_Crest_Road
4495,1203_Carter_Crest_Road
4470,Carter_Crest_Road_&_Cheriton_Crescent_W
44155,Carter_Crest_Way_&_Lawrence_Court
4950,Leger_Way_&_Leger_Boulevard
4763,Leger_Way_&_Leger_Road
4636,Rec_Centre_West_Entrance_&_Leger_Road
4637,2019_Leger_Road
4809,Leger_Transit_Centre
