716 Century_Park, 31 Stops
4802,Leger_Transit_Centre
4530,Towne_Centre_Boulevard_&_Trelle_Way
4278,Tomlinson_Way_&_Towne_Centre_Boulevard
4533,Tomlinson_Way_&_Tomlinson_Square
4693,Tomlinson_Common_&_Tomlinson_Way
43334,Terwillegar_Drive_&_Haddow_Drive
9023,170_Street_&_Windermere_Boulevard
9241,6250_Currents_Drive_W
9244,6143_Currents_Drive_W
9245,6103_Currents_Drive_E
9246,5110_Currents_Drive_E
9673,Ambleside_Drive_&_Windermere_Boulevard
9405,156_Street_&_Windermere_Boulevard
9633,156_Street_&_Windermere_Boulevard
9815,Allan_Drive_&_Windermere_Boulevard
4683,South_Terwillegar_Drive_W_&_Rabbit_Hill_Road
4942,Mullen_Way_&_Rabbit_Hill_Road
4745,McLuhan_Road_&_Rabbit_Hill_Road
4382,Rabbit_Hill_Road_&_MacTaggart_Drive
4651,Rabbit_Hill_Road_&_Maynard_Way
4949,Rabbit_Hill_Road_&_MacTaggart_Drive
4019,Rabbit_Hill_Road_&_Magrath_Boulevard
4659,Rabbit_Hill_Road_&_Tory_Gate
4109,Rabbit_Hill_Road_&_23_Avenue
4367,Rabbit_Hill_Road_&_23_Avenue
4632,Magrath_Road_&_23_Avenue
4110,Magrath_Road_&_23_Avenue
4075,119_Street_&_23_Avenue
4443,118_Street_&_23_Avenue
4164,Saddleback_Road_&_23_Avenue
4207,Century_Park_Transit_Centre
