724 Leger, 46 Stops
2706,South_Campus_Fort_Edmonton_Transit_Centre
22160,116_Street_&_68_Avenue
2504,Keillor_Road_&_Fox_Drive
4567,Whitemud_Drive_SB_&_53_Avenue
4021,Whitemud_Drive_SB_&_53_Avenue
4022,Riverbend_Road_&_53_Avenue
44157,148_Street_&_58_Avenue
44158,148_Street_&_59_Avenue
40244,Riverbend_Road_&_Brander_Drive
4027,Riverbend_Road_&_56_Avenue
4028,Riverbend_Road_&_53_Avenue
4199,Riverbend_Road_&_53_Avenue
4398,Riverbend_Road_&_48_Avenue
4430,Riverbend_Road_&_45_Avenue
4231,Riverbend_Road_&_43_Avenue
4537,Riverbend_Road_&_40_Avenue
4046,Rhatigan_Road_E_&_40_Avenue
4167,Bulyea_Road_&_Terwillegar_Drive
4299,Burton_Road_&_Burton_Close
4120,442_Burton_Road_West
4266,Burton_Road_&_Burrows_Crescent
4496,Burton_Road_&_Burton_Crescent
4457,Burton_Road_&_Butterworth_Drive
4123,270_Burton_Road
4364,Burton_Road_&_Butchart_Drive
4581,300_Bulyea_Road
4253,Bulyea_Road_&_Buchanan_Road_N
4555,Bulyea_Road_&_Burgess_Close
4190,Oeming_Road_&_Horizon_Village
4591,Oeming_Road_&_Oakes_Gate
4152,Carter_Crest_Road_E_&_Rabbit_Hill_Road
4571,Ogilvie_Place_&_Ogilvie_Boulevard
4328,Ockenden_Place_&_Ogilvie_Boulevard
4222,Osland_Drive_&_Ogilvie_Boulevard
4989,Hodgson_Boulevard_&_Hilliard_Green
4834,Hodgson_Boulevard_&_Hilliard_Green
4960,Hilliard_Green_&_Hodgson_Boulevard
4107,Hayward_Crescent_W_&_Hodgson_Boulevard
4655,Rabbit_Hill_Road_&_Hodgson_Boulevard
4720,Leigh_Crescent_&_Leger_Boulevard
4688,Leger_Boulevard_&_Leigh_Crescent
4950,Leger_Way_&_Leger_Boulevard
4763,Leger_Way_&_Leger_Road
4636,Rec_Centre_West_Entrance_&_Leger_Road
4637,2019_Leger_Road
4805,Leger_Transit_Centre
