118 Eaux_Claires, 52 Stops
7901,West_Clareview_Transit_Centre
7662,Manning_Drive_&_Miller_Boulevard
7673,Miller_Boulevard_&_145_Avenue
7769,Miller_Boulevard_&_Matheson_Way
7867,Miller_Boulevard_&_150_Avenue
7512,Miller_Boulevard_&_152_Avenue
7992,45_Street_&_153_Avenue
7806,45_Street_&_Brintnell_Boulevard
77279,47_Street_&_Brintnell_Boulevard
77288,48_Street_&_Brintnell_Boulevard
77421,54_Street_&_159_Avenue
7813,54_Street_&_162_Avenue
7577,55_Street_&_162_Avenue
7029,57_Street_&_162_Avenue
7355,59_Street_&_162_Avenue
77121,59_Street_&_162_Avenue
77266,59_Street_&_165_Avenue
77325,59_Street_&_165_Avenue
7812,61_Street_&_165_Avenue
7400,63_Street_&_165_Avenue
7614,64_Street_&_164_Avenue
7503,64_Street_&_162_Avenue
7282,64_Street_&_162_Avenue
7450,64_Street_&_160_Avenue
7399,64_Street_&_158_Avenue
7058,64_Street_&_158_Avenue
7386,67_Street_&_158_Avenue
7442,68_Street_&_158_Avenue
7534,Ozerna_Road_&_159_Avenue
7730,Ozerna_Road_&_159_Avenue
7765,Ozerna_Road_&_162_Avenue
7735,Ozerna_Road_&_163_Avenue
7682,Ozerna_Road_&_165_Avenue
7809,71_Street_&_Ozerna_Road
7815,72_Street_&_Ozerna_Road
7993,74_Street_&_Ozerna_Road
7894,76_Street_&_Ozerna_Road
7850,77_Street_&_164_Avenue
7848,77_Street_&_162_Avenue
7398,78_Street_&_160_Avenue
7832,Cherry_Grove_Place_&_160_Avenue
7959,82_Street_&_160_Avenue
7755,84_Street_&_160_Avenue
7976,84_Street_&_160_Avenue
7666,84_Street_&_162_Avenue
7865,84_Street_&_162_Avenue
7304,87_Street_&_164_Avenue
7112,88_Street_&_164_Avenue
7737,90_Street_&_164_Avenue
77643,92_Street_&_163_Avenue
7846,95_Street_&_160_Avenue
6313,Eaux_Claires_Transit_Centre
