925 Jasper_Place, 32 Stops
5840,West_Edmonton_Mall_Transit_Centre
5381,178_Street_&_89_Avenue
5283,182_Street_&_87_Avenue
5272,182_Street_&_89_Avenue
5388,182_Street_&_91_Avenue
5540,182_Street_&_93_Avenue
5567,182_Street_&_95_Avenue
5497,178_Street_&_95_Avenue
5253,178_Street_&_95_Avenue
55329,176_Street_&_95_Avenue
55341,176_Street_&_96_Avenue
5222,176_Street_&_98_Avenue
5328,174_Street_&_98_Avenue
5571,174_Street_&_98_Avenue
5454,174_Street_&_95_Avenue
5962,172_Street_&_95_Avenue
5927,172_Street_&_97_Avenue
5795,172_Street_&_99_Avenue
5670,175_Street_&_99_Avenue
55091,175_Street_&_100_Avenue
55369,173_Street_&_Stony_Plain_Road
8817,175_Street_&_Stony_Plain_Road
8417,175_Street_&_102_Avenue
8691,172_Street_&_103_Avenue
8062,172_Street_&_105_Avenue
5836,Mayfield_Common
55377,Mayfield_Common
5551,166_Street_&_Stony_Plain_Road
5313,164_Street_&_Stony_Plain_Road
5425,162_Street_&_Stony_Plain_Road
5600,160_Street_&_Stony_Plain_Road
5110,Jasper_Place_Transit_Centre
